natal,cdf
0.0,0.0
0.01,4.886111607407991e-06
0.02,9.778316440629764e-06
0.03,1.4676620623858716e-05
0.04,1.9581030285250224e-05
0.05,2.4491551556921036e-05
0.06,2.9408190574948685e-05
0.07,3.433095347937088e-05
0.08,3.92598464141849e-05
0.09,4.4194875527346935e-05
0.1,4.913604697077156e-05
0.11,5.4083366900331016e-05
0.12,5.903684147585457e-05
0.13,6.399647686112797e-05
0.14,6.896227922389273e-05
0.15,7.393425473584544e-05
0.16,7.891240957263727e-05
0.17,8.389674991387312e-05
0.18,8.888728194311105e-05
0.19,9.388401184786161e-05
0.2,9.888694581958715e-05
0.21,0.0001038960900537011
0.22,0.00010891145074956734
0.23,0.00011393303411049954
0.24,0.0001189608463437602
0.25,0.00012399489366056045
0.26,0.00012903518227605875
0.27,0.00013408171840936057
0.28,0.00013913450828351753
0.29,0.00014419355812552676
0.3,0.00014925887416633002
0.31,0.00015433046264081305
0.32,0.0001594083297878049
0.33,0.00016449248185007698
0.34,0.00016958292507434248
0.35000000000000003,0.00017467966571125547
0.36,0.00017978271001541026
0.37,0.00018489206424534066
0.38,0.00019000773466351892
0.39,0.0001951297275363554
0.4,0.0002002580491341972
0.41000000000000003,0.00020539270573132794
0.42,0.00021053370360596646
0.43,0.0002156810490402666
0.44,0.00022083474832031567
0.45,0.00022599480773613411
0.46,0.00023116123358167483
0.47000000000000003,0.00023633403215482163
0.48,0.00024151320975738914
0.49,0.0002466987726951217
0.5,0.0002518907272776922
0.51,0.00025708907981870184
0.52,0.00026229383663567874
0.53,0.00026750500405007735
0.54,0.0002727225883872775
0.55,0.0002779465959765834
0.56,0.00028317703315122316
0.5700000000000001,0.0002884139062483473
0.58,0.00029365722160902834
0.59,0.00029890698557825983
0.6,0.0003041632045049552
0.61,0.0003094258847419471
0.62,0.0003146950326459864
0.63,0.00031997065457774106
0.64,0.00032525275690179563
0.65,0.0003305413459866498
0.66,0.0003358364282047181
0.67,0.0003411380099323283
0.68,0.00034644609754972094
0.6900000000000001,0.00035176069744104785
0.7000000000000001,0.00035708181599437204
0.71,0.00036240945960166554
0.72,0.00036774363465880963
0.73,0.0003730843475655931
0.74,0.0003784316047257117
0.75,0.0003837854125467664
0.76,0.00038914577744026335
0.77,0.0003945127058216122
0.78,0.0003998862041101256
0.79,0.0004052662787290176
0.8,0.00041065293610540317
0.81,0.0004160461826702967
0.8200000000000001,0.00042144602485861133
0.8300000000000001,0.00042685246910915796
0.84,0.00043226552186464355
0.85,0.00043768518957167086
0.86,0.000443111478680737
0.87,0.0004485443956462326
0.88,0.00045398394692644023
0.89,0.0004594301389835338
0.9,0.0004648829782835775
0.91,0.00047034247129652427
0.92,0.000475808624496215
0.93,0.0004812814443603778
0.9400000000000001,0.00048676093737062614
0.9500000000000001,0.0004922471100124581
0.96,0.0004977399687752551
0.97,0.0005032395201522818
0.98,0.0005087457706406828
0.99,0.000514258726741484
1.0,0.0005197783949595893
1.01,0.0005253047818037807
1.02,0.0005308378937867172
1.03,0.000536377737424933
1.04,0.0005419243192388365
1.05,0.0005474776457527092
1.06,0.0005530377234947053
1.07,0.0005586045589968487
1.08,0.0005641781587950338
1.09,0.0005697585294290225
1.1,0.0005753456774424447
1.11,0.000580939609382796
1.12,0.0005865403318014365
1.1300000000000001,0.0005921478512535899
1.1400000000000001,0.0005977621742983427
1.1500000000000001,0.0006033833074986415
1.16,0.0006090112574212938
1.17,0.0006146460306369651
1.18,0.0006202876337201783
1.19,0.0006259360732493124
1.2,0.0006315913558066009
1.21,0.0006372534879781315
1.22,0.0006429224763538435
1.23,0.0006485983275275278
1.24,0.0006542810480968238
1.25,0.0006599706446632207
1.26,0.0006656671238320541
1.27,0.0006713704922125051
1.28,0.0006770807564176003
1.29,0.0006827979230642078
1.3,0.0006885219987730389
1.31,0.0006942529901686445
1.32,0.0006999909038794154
1.33,0.0007057357465375798
1.34,0.0007114875247792021
1.35,0.0007172462452441818
1.36,0.0007230119145762526
1.37,0.00072878453942298
1.3800000000000001,0.000734564126435761
1.3900000000000001,0.0007403506822698213
1.4000000000000001,0.000746144213584216
1.41,0.0007519447270418257
1.42,0.0007577522293093572
1.43,0.0007635667270573416
1.44,0.0007693882269601313
1.45,0.0007752167356959009
1.46,0.000781052259946644
1.47,0.0007868948063981737
1.48,0.0007927443817401184
1.49,0.0007986009926659227
1.5,0.0008044646458728452
1.51,0.0008103353480619566
1.52,0.0008162131059381388
1.53,0.0008220979262100833
1.54,0.0008279898155902899
1.55,0.0008338887807950642
1.56,0.0008397948285445178
1.57,0.0008457079655625648
1.58,0.0008516281985769229
1.59,0.0008575555343191091
1.6,0.0008634899795244396
1.61,0.0008694315409320287
1.62,0.0008753802252847862
1.6300000000000001,0.0008813360393294173
1.6400000000000001,0.0008872989898164184
1.6500000000000001,0.0008932690835000787
1.6600000000000001,0.0008992463271384767
1.67,0.0009052307274934792
1.68,0.0009112222913307402
1.69,0.0009172210254196981
1.7,0.000923226936533575
1.71,0.0009292400314493749
1.72,0.0009352603169478826
1.73,0.0009412877998136617
1.74,0.0009473224868350518
1.75,0.0009533643848041696
1.76,0.0009594135005169041
1.77,0.0009654698407729187
1.78,0.0009715334123756456
1.79,0.0009776042221322863
1.8,0.0009836822768538103
1.81,0.000989767583354953
1.82,0.0009958601484542126
1.83,0.0010019599789738514
1.84,0.001008067081739891
1.85,0.0010141814635821129
1.86,0.0010203031313340554
1.87,0.0010264320918330128
1.8800000000000001,0.0010325683519200337
